feature_id,domain,old_ui,old_frontend_state,old_binding,old_backend,old_mcp_tool,old_docs,old_tests,new_rust_api,new_qt_viewmodel,new_qml_entry,new_tests,status,owner,acceptance,notes
shell.window_lifecycle,shell,frontend/src/App.vue; Wails window options,,Wails WebView2 shell,internal/core/app/app.go,,docs/architecture.md; docs/development/testing.md,,portweave_shell::window_state,AppWindowController; WindowLifecycleViewModel,qml/shell/MainWindow.qml,qt_window_lifecycle_smoke; windows_cross_screen_smoke,contracted,qt-bridge-agent,Windows cross-screen drag resize minimize restore keeps content visible and interactive,First development blocker for current WebView2 failure class
shell.module_navigation,shell,frontend/src/main.ts; frontend/src/core/registry.ts; frontend/src/serial/index.ts; frontend/src/settings/index.ts,frontend/src/core/registry.ts,,internal/core/module/registry.go,,docs/architecture.md,frontend/src/core/registry.test.ts,portweave_core::module_catalog,ModuleRegistryViewModel,qml/shell/ActivityBar.qml; qml/shell/Sidebar.qml,qml_smoke_module_navigation,contracted,qml-shell-agent,Serial and Settings module navigation matches old activity/sidebar behavior,
workspace.new,workspace,frontend/src/App.vue createGraph,frontend/src/serial/stores/graphStore.ts createGraph,,internal/core/workspace/service.go,,docs/getting-started.md; docs/workspace-graph-schema.md,frontend/src/App.test.ts; frontend/src/workspace/workspaceSession.test.ts,portweave_workspace::new_graph,ProjectViewModel::newGraph,qml/shell/MainToolbar.qml,workspace_new_graph_test; qml_smoke_workspace_new,contracted,rust-workspace-agent,New graph appears active with clean default serial graph state,
workspace.open,workspace,frontend/src/App.vue openGraph,frontend/src/workspace/stores/workspaceFileStore.ts openFromPath,frontend/bindings/.../workspace/service.ts SelectWorkspaceOpenPath; ReadWorkspace,internal/core/workspace/service.go,,docs/getting-started.md; docs/workspace-graph-schema.md,frontend/src/workspace/stores/workspaceFileStore.test.ts; internal/core/workspace/service_test.go,portweave_workspace::open_workspace,ProjectViewModel::openWorkspace,qml/shell/MainToolbar.qml,workspace_open_roundtrip_test; qml_smoke_workspace_open,contracted,rust-workspace-agent,Old workspace JSON opens and restores graph settings layout and active graph,
workspace.save,workspace,frontend/src/App.vue saveGraph,frontend/src/workspace/stores/workspaceFileStore.ts saveGraph,frontend/bindings/.../workspace/service.ts SaveWorkspace; DefaultWorkspacePath,internal/core/workspace/service.go,,docs/workspace-graph-schema.md,frontend/src/workspace/stores/workspaceFileStore.test.ts; internal/core/workspace/service_test.go,portweave_workspace::save_workspace,ProjectViewModel::saveWorkspace,qml/shell/MainToolbar.qml,workspace_save_roundtrip_test; qml_smoke_workspace_save,contracted,rust-workspace-agent,Save writes stable workspace JSON and clears dirty state,
workspace.save_as,workspace,frontend/src/App.vue saveGraphAs,frontend/src/workspace/stores/workspaceFileStore.ts saveGraphAs; exportCopy,frontend/bindings/.../workspace/service.ts SelectWorkspaceSavePath; SaveWorkspace; ExportWorkspace,internal/core/workspace/service.go,,docs/workspace-graph-schema.md,frontend/src/workspace/stores/workspaceFileStore.test.ts,portweave_workspace::save_workspace_as,ProjectViewModel::saveWorkspaceAs,qml/shell/MainToolbar.qml,workspace_save_as_test; qml_smoke_workspace_save_as,contracted,rust-workspace-agent,Save As prompts for path writes JSON and switches current path,
workspace.restore_last,workspace,frontend/src/App.vue onMounted loadLast,frontend/src/workspace/stores/workspaceFileStore.ts loadLast,frontend/bindings/.../workspace/service.ts LoadLastWorkspace; RememberLastWorkspace,internal/core/workspace/service.go,,docs/getting-started.md,internal/core/workspace/service_test.go; frontend/src/workspace/stores/workspaceFileStore.test.ts,portweave_workspace::load_last_workspace,ProjectViewModel::loadLastWorkspace,qml/shell/AppStartup.qml,workspace_restore_last_test,contracted,rust-workspace-agent,Startup loads last remembered workspace or falls back to current graph snapshot,
workspace.dirty_state,workspace,frontend/src/App.vue watchers,frontend/src/workspace/stores/workspaceFileStore.ts isDirty; markDirty; markClean,,,,docs/workspace-graph-schema.md,frontend/src/App.test.ts; frontend/src/workspace/stores/workspaceFileStore.test.ts,portweave_workspace::workspace_dirty_state,ProjectViewModel dirty property,qml/shell/MainWindow.qml; qml/shell/MainToolbar.qml,workspace_dirty_state_test; qml_smoke_dirty_marker,contracted,rust-workspace-agent,Graph/settings edits set dirty state and save clears it,
workspace.demo_catalog,workspace,frontend/src/settings/views/global/GlobalSettingsPanel.vue,frontend/src/workspace/demoWorkspaces.ts listDemoWorkspaces; createDemoWorkspaceSnapshot,,,,docs/examples.md; docs/getting-started.md,frontend/src/workspace/demoWorkspaces.test.ts,portweave_workspace::demo_catalog,DemoWorkspaceListModel,qml/settings/GlobalSettingsPanel.qml,demo_catalog_test,contracted,rust-workspace-agent,Existing no-hardware demo catalog is visible and loadable,
settings.theme,settings,frontend/src/App.vue theme provider; frontend/src/settings/views/global,frontend/src/settings/stores/settingsStore.ts,,,,docs/getting-started.md,frontend/src/settings/stores/settingsStore.test.ts; frontend/src/settings/views/global/GlobalSettingsPanel.test.ts,portweave_settings::set_theme,SettingsViewModel theme property,qml/settings/GlobalSettingsPanel.qml,settings_theme_test; qml_smoke_theme_switch,contracted,qml-feature-agent,System dark light theme behavior matches old setting semantics,
